_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs
sdv-id-sNaKyv,0001,"Mon, 06 Jan 2020 10:05:48 GMT","Tue, 07 Jan 2020 07:41:15 GMT","Tue, 07 Jan 2020 04:58:27 GMT",18.706653740094726,sdv-pii-8l5dh,0001,sdv-pii-as73h,sdv-pii-f3men,America/Los_Angeles,sdv-pii-p20tq,sdv-pii-2bg4k
sdv-id-ICMTeB,0001,"Sat, 04 Jan 2020 17:04:05 GMT","Sat, 04 Jan 2020 03:01:20 GMT","Fri, 03 Jan 2020 21:40:07 GMT",3.008031731335095,sdv-pii-amcs1,0001,sdv-pii-ypysu,sdv-pii-bus70,America/Los_Angeles,sdv-pii-3ih1r,sdv-pii-4ovew
sdv-id-raQTGu,0001,"Fri, 03 Jan 2020 12:04:22 GMT","Fri, 03 Jan 2020 08:49:03 GMT","Fri, 03 Jan 2020 10:07:26 GMT",18.991882187973673,sdv-pii-irrp5,0001,sdv-pii-ayq0i,sdv-pii-25zxm,America/Los_Angeles,,sdv-pii-mmdiz
sdv-id-JcMWcH,0001,"Sun, 05 Jan 2020 02:09:39 GMT","Sun, 05 Jan 2020 18:36:41 GMT","Sun, 05 Jan 2020 18:33:05 GMT",5.992519477251854,sdv-pii-faavr,0001,sdv-pii-rgqef,sdv-pii-ytcfu,America/Los_Angeles,sdv-pii-2rxug,sdv-pii-46n86
sdv-id-qWHJJD,0001,"Sun, 05 Jan 2020 07:15:45 GMT","Sun, 05 Jan 2020 06:14:33 GMT","Sat, 04 Jan 2020 21:33:05 GMT",12.830464053877808,sdv-pii-xf8wo,0001,sdv-pii-olpgd,sdv-pii-cxa55,America/Los_Angeles,sdv-pii-nzq66,sdv-pii-n25g5
sdv-id-iaBDvi,0001,"Fri, 03 Jan 2020 02:39:20 GMT","Fri, 03 Jan 2020 08:21:27 GMT","Fri, 03 Jan 2020 00:20:26 GMT",19.466602677494933,sdv-pii-p7bu1,0001,sdv-pii-ywbc5,sdv-pii-8groo,America/Los_Angeles,sdv-pii-le7gi,sdv-pii-lg951
sdv-id-BJuNSa,0001,"Sat, 04 Jan 2020 07:46:46 GMT","Sat, 04 Jan 2020 09:16:01 GMT","Sat, 04 Jan 2020 08:38:32 GMT",7.180671994184903,sdv-pii-xplai,0001,sdv-pii-8757x,sdv-pii-sij4b,America/Los_Angeles,sdv-pii-4zf9n,sdv-pii-fbfll
sdv-id-zfsGVo,0001,"Sat, 04 Jan 2020 05:15:21 GMT","Sun, 05 Jan 2020 08:19:59 GMT","Sun, 05 Jan 2020 09:21:54 GMT",18.551912631635332,sdv-pii-svgdf,0001,sdv-pii-n187e,sdv-pii-tbfaw,America/Los_Angeles,sdv-pii-41es2,sdv-pii-wfy1r
sdv-id-WwzNct,0001,"Thu, 02 Jan 2020 11:17:36 GMT","Fri, 03 Jan 2020 10:42:24 GMT","Fri, 03 Jan 2020 11:08:27 GMT",3.3513359373276645,sdv-pii-3j2ai,0001,sdv-pii-5jvwz,sdv-pii-7ugxl,America/Los_Angeles,sdv-pii-8021w,sdv-pii-litx3
sdv-id-xwwEsL,0001,"Tue, 07 Jan 2020 08:31:28 GMT","Tue, 07 Jan 2020 23:55:14 GMT","Tue, 07 Jan 2020 20:23:24 GMT",12.710076430656011,sdv-pii-foyz3,0001,sdv-pii-zt5pd,sdv-pii-0pvjt,America/Los_Angeles,sdv-pii-e55fn,sdv-pii-mzn15
sdv-id-Gfwshb,0001,"Thu, 02 Jan 2020 22:30:26 GMT","Thu, 02 Jan 2020 14:15:36 GMT","Thu, 02 Jan 2020 08:34:42 GMT",2.8668388842745736,sdv-pii-qg6wj,0001,sdv-pii-9jmh1,sdv-pii-6rdpb,America/Los_Angeles,sdv-pii-duvs1,sdv-pii-p0qln
sdv-id-nEPSGs,0001,"Mon, 06 Jan 2020 10:47:17 GMT","Mon, 06 Jan 2020 02:25:03 GMT","Sun, 05 Jan 2020 17:25:30 GMT",9.747010115057934,sdv-pii-jxt5s,0001,sdv-pii-xv16m,sdv-pii-drya7,America/Los_Angeles,sdv-pii-sdb4j,sdv-pii-fzlqb
sdv-id-QJMybK,0001,"Thu, 02 Jan 2020 09:14:11 GMT","Thu, 02 Jan 2020 08:00:01 GMT","Thu, 02 Jan 2020 07:43:17 GMT",14.140547415362716,sdv-pii-aarnn,0001,sdv-pii-dgg3q,sdv-pii-k6rmx,America/Los_Angeles,sdv-pii-o3req,sdv-pii-vttji
sdv-id-tjSKJC,0001,"Fri, 03 Jan 2020 06:44:55 GMT","Fri, 03 Jan 2020 10:13:27 GMT","Fri, 03 Jan 2020 06:42:53 GMT",9.17051266428866,sdv-pii-34qle,0001,sdv-pii-k9ipe,sdv-pii-s1nue,America/Los_Angeles,sdv-pii-suwd9,sdv-pii-oqewp
sdv-id-Attaly,0001,"Fri, 03 Jan 2020 03:38:37 GMT","Thu, 02 Jan 2020 23:02:59 GMT","Thu, 02 Jan 2020 20:35:16 GMT",1.0362766121817941,sdv-pii-tgdej,0001,sdv-pii-bp2hv,sdv-pii-dhpu6,America/Los_Angeles,sdv-pii-3oywh,sdv-pii-jlael
sdv-id-dKCWlk,0001,"Thu, 02 Jan 2020 02:28:31 GMT","Thu, 02 Jan 2020 23:04:38 GMT","Fri, 03 Jan 2020 01:53:34 GMT",8.559956561672305,sdv-pii-2i85p,0001,sdv-pii-0z1wn,sdv-pii-w23zf,America/Los_Angeles,sdv-pii-u4ith,sdv-pii-uzrtn
sdv-id-daMWdG,0001,"Mon, 06 Jan 2020 18:25:00 GMT","Tue, 07 Jan 2020 19:14:49 GMT","Tue, 07 Jan 2020 18:31:56 GMT",10.189120769949064,sdv-pii-moes6,0001,sdv-pii-oend5,sdv-pii-frfg4,America/Los_Angeles,sdv-pii-akg5n,sdv-pii-n67h9
sdv-id-IDlMiC,0001,"Mon, 06 Jan 2020 18:14:14 GMT","Tue, 07 Jan 2020 16:14:40 GMT","Tue, 07 Jan 2020 19:18:07 GMT",22.365416594917043,sdv-pii-b088b,0001,sdv-pii-2dnpc,sdv-pii-bpk0f,America/Los_Angeles,sdv-pii-714wp,sdv-pii-139dd
sdv-id-hOeATZ,0001,"Sun, 05 Jan 2020 03:21:53 GMT","Sun, 05 Jan 2020 17:58:09 GMT","Sun, 05 Jan 2020 23:55:01 GMT",22.335617720059613,sdv-pii-mfads,0001,sdv-pii-zarma,sdv-pii-tnlnm,America/Los_Angeles,sdv-pii-30eqb,sdv-pii-worec
sdv-id-yoeHGG,0001,"Sat, 04 Jan 2020 01:00:21 GMT","Fri, 03 Jan 2020 10:48:41 GMT","Fri, 03 Jan 2020 08:12:51 GMT",1.659383629771125,sdv-pii-curna,0001,sdv-pii-i63e0,sdv-pii-wvvxn,America/Los_Angeles,sdv-pii-gxc11,sdv-pii-4yw23
